hostname,role,app,env,loc,bu,type,os,risk,compliance,DFIRBubble,ip,enforcement
ecm-web05-prd,web,ecomm,Production,ny,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
ecm-web06-prd,web,ecomm,Production,ny,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
ecm-web02-prd,web,ecomm,Production,ny,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
exc-et01-prd,edgetransport,exchange,Production,ny,it,server,windows 2019,,,IR-CLEANBUBBLE,,selective
exc-et02-prd,edgetransport,exchange,Production,ny,it,server,windows 2019,,,IR-CLEANBUBBLE,,selective
exc-mail01-prd,mailserver,exchange,Production,ny,it,server,windows 2019,,,IR-CLEANBUBBLE,,selective
exc-mail02-prd,mailserver,exchange,Production,ny,it,server,windows 2019,,,IR-CLEANBUBBLE,,selective
hrm-db01-prd,db,hrm,Production,ca,hr,server,linux,,,IR-CLEANBUBBLE,,selective
hrm-db02-prd,db,hrm,Production,ca,hr,server,linux,,,IR-CLEANBUBBLE,,selective
hrm-web02-prd,web,hrm,Production,ca,hr,server,linux,,,IR-CLEANBUBBLE,,selective
hrm-web01-prd,web,hrm,Production,ca,hr,server,linux,,,IR-CLEANBUBBLE,,selective
hrm-web03-prd,web,hrm,Production,ca,hr,server,linux,,,IR-CLEANBUBBLE,,selective
inf-nagios02-prd,nagios,monitoring,Production,ny,it,server,linux,,,IR-CLEANBUBBLE,,selective
inf-nagios01-prd,nagios,monitoring,Production,ca,it,server,linux,,,IR-CLEANBUBBLE,,selective
inf-syslog01-prd,syslog,soc,Production,ca,it,server,linux,,,IR-CLEANBUBBLE,,selective
inf-syslog02-prd,syslog,soc,Production,ny,it,server,linux,,,IR-CLEANBUBBLE,,selective
inf-time02-prd,time,infra-mgmt,Production,ny,it,server,linux,,,IR-CLEANBUBBLE,,selective
inf-time01-prd,time,infra-mgmt,Production,ca,it,server,linux,,,IR-CLEANBUBBLE,,selective
ord-db02-dev,db,ordering,Development,ca,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-db01-dev,db,ordering,Development,ca,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-lb02-dev,loadbalancer,ordering,Development,ca,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-lb01-dev,loadbalancer,ordering,Development,ca,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-proc02-dev,processing,ordering,Development,ca,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-proc01-dev,processing,ordering,Development,ca,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-web02-dev,web,ordering,Development,ca,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-web03-dev,web,ordering,Development,ca,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-web01-dev,web,ordering,Development,ca,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-db01-prd,db,ordering,Production,ca,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-db02-prd,db,ordering,Production,ca,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-db03-prd,db,ordering,Production,ldn,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-db04-prd,db,ordering,Production,ldn,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-db05-prd,db,ordering,Production,syd,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-db06-prd,db,ordering,Production,syd,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-lb01-prd,loadbalancer,ordering,Production,ca,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-lb02-prd,loadbalancer,ordering,Production,ca,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-proc01-prd,processing,ordering,Production,ca,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-proc02-prd,processing,ordering,Production,ca,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-proc03-prd,processing,ordering,Production,ldn,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-proc04-prd,processing,ordering,Production,ldn,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-proc05-prd,processing,ordering,Production,ldn,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-proc06-prd,processing,ordering,Production,syd,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-proc07-prd,processing,ordering,Production,syd,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-proc08-prd,processing,ordering,Production,syd,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-web01-prd,web,ordering,Production,ca,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-web02-prd,web,ordering,Production,ca,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-web03-prd,web,ordering,Production,ca,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-web04-prd,web,ordering,Production,syd,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-web05-prd,web,ordering,Production,ldn,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-web06-prd,web,ordering,Production,ldn,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
ord-web07-prd,web,ordering,Production,syd,commerce,server,linux,,,IR-DIRTYBUBBLE,,selective
pay-db01-prd,db,payment,Production,ldn,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pay-db02-prd,db,payment,Production,ldn,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pay-db03-prd,db,payment,Production,syd,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pay-db04-prd,db,payment,Production,syd,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pay-proc01-prd,processing,payment,Production,ldn,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pay-proc02-prd,processing,payment,Production,syd,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pay-proc03-prd,processing,payment,Production,ldn,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pay-proc04-prd,processing,payment,Production,syd,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pay-proc05-prd,processing,payment,Production,syd,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pay-web01-prd,web,payment,Production,syd,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pay-web02-prd,web,payment,Production,syd,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pay-web03-prd,web,payment,Production,ldn,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pay-web04-prd,web,payment,Production,ldn,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pay-web05-prd,web,payment,Production,ldn,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-db01-pci,db,pos,PCI,ny,banking,server,linux,,PCI-DSS,IR-DIRTYBUBBLE,,selective
pos-db02-pci,db,pos,PCI,ca,banking,server,linux,,PCI-DSS,IR-DIRTYBUBBLE,,selective
pos-db03-pci,db,pos,PCI,ny,banking,server,linux,,PCI-DSS,IR-DIRTYBUBBLE,,selective
pos-db04-pci,db,pos,PCI,ca,banking,server,linux,,PCI-DSS,IR-DIRTYBUBBLE,,selective
pos-proc01-pci,processing,pos,PCI,ny,banking,server,linux,,PCI-DSS,IR-DIRTYBUBBLE,,selective
pos-proc02-pci,processing,pos,PCI,ca,banking,server,linux,,PCI-DSS,IR-DIRTYBUBBLE,,selective
pos-proc03-pci,processing,pos,PCI,ca,banking,server,linux,,PCI-DSS,IR-DIRTYBUBBLE,,selective
pos-proc04-pci,processing,pos,PCI,ny,banking,server,linux,,PCI-DSS,IR-DIRTYBUBBLE,,selective
pos-proc05-pci,processing,pos,PCI,ny,banking,server,linux,,PCI-DSS,IR-DIRTYBUBBLE,,selective
pos-proc06-pci,processing,pos,PCI,ca,banking,server,linux,,PCI-DSS,IR-DIRTYBUBBLE,,selective
pos-web01-pci,web,pos,PCI,ny,banking,server,linux,,PCI-DSS,IR-DIRTYBUBBLE,,selective
pos-web02-pci,web,pos,PCI,ca,banking,server,linux,,PCI-DSS,IR-DIRTYBUBBLE,,selective
pos-web03-pci,web,pos,PCI,ca,banking,server,linux,,PCI-DSS,IR-DIRTYBUBBLE,,selective
pos-web04-pci,web,pos,PCI,ny,banking,server,linux,,PCI-DSS,IR-DIRTYBUBBLE,,selective
pos-db01-stg,db,pos,Staging,ldn,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-db02-stg,db,pos,Staging,ca,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-db03-stg,db,pos,Staging,ca,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-db04-stg,db,pos,Staging,syd,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-db05-stg,db,pos,Staging,syd,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-db06-stg,db,pos,Staging,ldn,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-proc01-stg,processing,pos,Staging,syd,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-proc02-stg,processing,pos,Staging,ldn,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-proc03-stg,processing,pos,Staging,syd,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-proc04-stg,processing,pos,Staging,syd,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-proc05-stg,processing,pos,Staging,ca,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-proc06-stg,processing,pos,Staging,ca,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-proc07-stg,processing,pos,Staging,ca,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-proc08-stg,processing,pos,Staging,ldn,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-proc09-stg,processing,pos,Staging,ldn,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-web01-stg,web,pos,Staging,ldn,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-web02-stg,web,pos,Staging,syd,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-web03-stg,web,pos,Staging,syd,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-web04-stg,web,pos,Staging,ca,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-web05-stg,web,pos,Staging,ca,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
pos-web06-stg,web,pos,Staging,ldn,banking,server,linux,,,IR-DIRTYBUBBLE,,selective
prc-db02-prd,db,procurement,Production,ca,it,server,linux,,,IR-CLEANBUBBLE,,selective
prc-db01-prd,db,procurement,Production,ca,it,server,linux,,,IR-CLEANBUBBLE,,selective
prc-proc01-prd,processing,procurement,Production,ca,it,server,linux,,,IR-CLEANBUBBLE,,selective
prc-proc02-prd,processing,procurement,Production,ca,it,server,linux,,,IR-CLEANBUBBLE,,selective
prc-web01-prd,web,procurement,Production,ca,it,server,linux,,,IR-CLEANBUBBLE,,selective
prc-web03-prd,web,procurement,Production,ca,it,server,linux,,,IR-CLEANBUBBLE,,selective
prc-web02-prd,web,procurement,Production,ca,it,server,linux,,,IR-CLEANBUBBLE,,selective
shc-db01-prd,db,shareddb,Production,ca,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
shc-db02-prd,db,shareddb,Production,ca,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
shc-proc01-prd,processing,cart,Production,ny,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
shc-proc02-prd,processing,cart,Production,ny,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
shc-proc03-prd,processing,cart,Production,ny,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
shc-web01-prd,web,cart,Production,ny,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
shc-web02-prd,web,cart,Production,ny,commerce,server,linux,,,IR-CLEANBUBBLE,,selective
swf-gw03-prd,gateway,swift,Production,ldn,banking,server,linux,,SWIFT,IR-CLEANBUBBLE,,selective
swf-gw04-prd,gateway,swift,Production,ldn,banking,server,linux,,SWIFT,IR-CLEANBUBBLE,,selective
swf-gw02-prd,gateway,swift,Production,ny,banking,server,linux,,SWIFT,IR-CLEANBUBBLE,,selective
swf-gw01-prd,gateway,swift,Production,ny,banking,server,linux,,SWIFT,IR-CLEANBUBBLE,,selective
swf-web08-prd,web,swift,Production,ldn,banking,server,linux,,SWIFT,IR-CLEANBUBBLE,,selective
swf-web04-prd,web,swift,Production,ldn,banking,server,linux,,SWIFT,IR-CLEANBUBBLE,,selective
swf-web07-prd,web,swift,Production,ldn,banking,server,linux,,SWIFT,IR-CLEANBUBBLE,,selective
swf-web05-prd,web,swift,Production,ldn,banking,server,linux,,SWIFT,IR-CLEANBUBBLE,,selective
swf-web06-prd,web,swift,Production,ldn,banking,server,linux,,SWIFT,IR-CLEANBUBBLE,,selective
swf-web02-prd,web,swift,Production,ny,banking,server,linux,,SWIFT,IR-CLEANBUBBLE,,selective
swf-web03-prd,web,swift,Production,ny,banking,server,linux,,SWIFT,IR-CLEANBUBBLE,,selective
swf-web01-prd,web,swift,Production,ny,banking,server,linux,,SWIFT,IR-CLEANBUBBLE,,selective
inf-jh01-prd,jumpbox,jump-infra,Production,ca,it,server,linux,,,IR-CLEANBUBBLE,,selective
inf-jh02-prd,jumpbox,jump-infra,Production,ca,it,server,linux,,,IR-CLEANBUBBLE,,selective
exc-netapp01-prd,filer,exchange,Production,ny,it,server,linux,,,IR-CLEANBUBBLE,10.30.100.5,
exc-netapp02-prd,filer,exchange,Production,ny,it,server,linux,,,IR-CLEANBUBBLE,10.30.100.6,
ctr01,counter,packaging,Production,bos,manufacturing,OT,linux,,,IR-CLEANBUBBLE,10.40.100.2,
ctr02,counter,packaging,Production,bos,manufacturing,OT,linux,,,IR-CLEANBUBBLE,10.40.100.3,
ctr03,counter,packaging,Production,bos,manufacturing,OT,linux,,,IR-CLEANBUBBLE,10.40.100.4,
ctr04,counter,packaging,Production,bos,manufacturing,OT,linux,,,IR-CLEANBUBBLE,10.40.100.5,
ctr05,counter,packaging,Production,bos,manufacturing,OT,linux,,,IR-CLEANBUBBLE,10.40.100.6,
mac-endpoint-1,admin,laptop,Users,remote,it,endpoint,Mac,High Risk,,IR-CLEANBUBBLE,,selective
mac-endpoint-2,admin,laptop,Users,remote,it,endpoint,Mac,High Risk,,IR-CLEANBUBBLE,,selective
mac-endpoint-3,employee,laptop,Users,remote,commerce,endpoint,Mac,High Risk,,IR-CLEANBUBBLE,,selective
mac-endpoint-4,employee,laptop,Users,remote,commerce,endpoint,Mac,High Risk,,IR-CLEANBUBBLE,,selective
mac-endpoint-5,employee,laptop,Users,remote,commerce,endpoint,Mac,High Risk,,IR-CLEANBUBBLE,,selective
mac-endpoint-6,employee,laptop,Users,remote,commerce,endpoint,Mac,High Risk,,IR-CLEANBUBBLE,,selective
win-endpoint-1,contractor,vdi,Users,ny,commerce,endpoint,Windows 10,Low Risk,,IR-CLEANBUBBLE,,selective
win-endpoint-2,contractor,vdi,Users,ny,commerce,endpoint,Windows 10,Low Risk,,IR-CLEANBUBBLE,,selective
win-endpoint-3,contractor,vdi,Users,ny,commerce,endpoint,Windows 10,Low Risk,,IR-CLEANBUBBLE,,selective
win-endpoint-4,contractor,vdi,Users,ny,commerce,endpoint,Windows 10,Low Risk,,IR-CLEANBUBBLE,,selective
win-endpoint-5,admin,vdi,Users,ca,it,endpoint,Windows 10,Low Risk,,IR-RECOVERY-TEAM,,selective
win-endpoint-6,admin,vdi,Users,ca,it,endpoint,Windows 10,Low Risk,,IR-RECOVERY-TEAM,,selective
win-endpoint-7,contractor,vdi,Users,ny,commerce,endpoint,Windows 10,Low Risk,,IR-CLEANBUBBLE,,selective
win-endpoint-8,contractor,vdi,Users,ny,commerce,endpoint,Windows 10,Low Risk,,IR-CLEANBUBBLE,,selective
win-endpoint-9,employee,laptop,Users,remote,commerce,endpoint,Windows 11,High Risk,,IR-CLEANBUBBLE,,selective
win-endpoint-10,employee,laptop,Users,remote,commerce,endpoint,Windows 11,High Risk,,IR-CLEANBUBBLE,,selective
Aquilion ONE CT Scanner,ct,imaging,medical,acme hospital,health,OT,,,HIPAA,IR-CLEANBUBBLE,10.50.126.10,
Revolution CT,ct,imaging,medical,acme hospital,health,OT,,,HIPAA,IR-CLEANBUBBLE,10.50.126.11,
SOMATOM-CT006,ct,imaging,medical,acme hospital,health,OT,,,HIPAA,IR-CLEANBUBBLE,10.50.126.12,
LightSpeed-VCT04,ct,imaging,medical,acme hospital,health,OT,,,HIPAA,IR-CLEANBUBBLE,10.50.126.13,
CT-OR LightSpeed,ct,imaging,medical,acme hospital,health,OT,,,HIPAA,IR-CLEANBUBBLE,10.50.126.14,
OPCMR9,mri,imaging,medical,acme hospital,health,OT,,,HIPAA,IR-CLEANBUBBLE,10.50.126.15,
MRC40273,mri,imaging,medical,acme hospital,health,OT,,,HIPAA,IR-CLEANBUBBLE,10.50.126.16,
AqONEScannerSurg6,ct,imaging,medical,acme hospital,health,OT,,,HIPAA,IR-CLEANBUBBLE,10.50.126.17,
MAGNETOM Skyra,mri,imaging,medical,acme hospital,health,OT,,,HIPAA,IR-CLEANBUBBLE,10.50.126.18,
Philips Allura Xper Xray,xray,imaging,medical,acme hospital,health,OT,,,HIPAA,IR-CLEANBUBBLE,10.50.126.19,
Excite-MRI-1,mri,imaging,medical,acme hospital,health,OT,,,HIPAA,IR-CLEANBUBBLE,10.50.126.20,
DRX-Revolution,xray,imaging,medical,acme hospital,health,OT,,,HIPAA,IR-CLEANBUBBLE,10.50.126.21,
OrthoScan Mini C-Arm 4,xray,imaging,medical,acme hospital,health,OT,,,HIPAA,IR-CLEANBUBBLE,10.50.126.22,
Optima XR220amx,xray,imaging,medical,acme hospital,health,OT,,,HIPAA,IR-CLEANBUBBLE,10.50.126.23,
PhilMD-ER-XRay02,xray,imaging,medical,acme hospital,health,OT,,,HIPAA,IR-CLEANBUBBLE,10.50.126.24,
OrthoScan Mini C-Arm,xray,imaging,medical,acme hospital,health,OT,,,HIPAA,IR-CLEANBUBBLE,10.50.126.25,
DRX-Revolution,xray,imaging,medical,acme hospital,health,OT,,,HIPAA,IR-CLEANBUBBLE,10.50.126.26,
pckg-ctrl-02,control,packaging,Production,bos,manufacturing,OT,linux,,,IR-CLEANBUBBLE,10.60.100.26,
scada-ctrl-02,scada,packaging,Production,bos,manufacturing,OT,linux,,,IR-CLEANBUBBLE,10.60.102.12,
scada-ctrl-01,scada,packaging,Production,bos,manufacturing,OT,linux,,,IR-CLEANBUBBLE,10.60.102.11,
plc-ctrl-01,plc,packaging,Production,bos,manufacturing,OT,linux,,,IR-CLEANBUBBLE,10.60.101.100,
pckg-ctrl-01,control,packaging,Production,bos,manufacturing,OT,linux,,,IR-CLEANBUBBLE,10.60.100.25,
plc-ctrl-02,plc,packaging,Production,bos,manufacturing,OT,linux,,,IR-CLEANBUBBLE,10.60.101.101,
snsr-ctrl-01,sensor,packaging,Production,bos,manufacturing,OT,linux,,,IR-CLEANBUBBLE,10.60.102.13,
snsr-ctrl-02,sensor,packaging,Production,bos,manufacturing,OT,linux,,,IR-CLEANBUBBLE,10.60.102.14,
